Year, Month, Day, Hour, Minute, Open, High, Low, Close, Volume
2013,4,11, 03,59, 162.57, 162.57, 162.57, 162.57, 0.1253
2013,4,11, 04,01, 159.87, 159.87, 159.87, 159.87, 12.6816
2013,4,11, 04,02, 159.86, 159.87, 159.86, 159.87, 36.1746
2013,4,11, 04,03, 159.87, 159.87, 159.87, 159.87, 10.0183
2013,4,11, 04,04, 162.50, 162.50, 159.88, 159.88, 10.1194
2013,4,11, 04,05, 159.88, 162.60, 159.88, 162.60, 2.1234
2013,4,11, 04,06, 159.88, 159.88, 159.88, 159.88, 8.8515
2013,4,11, 04,07, 159.88, 159.88, 159.88, 159.88, 8.1169
2013,4,11, 04,08, 159.88, 159.88, 159.88, 159.88, 10.7435
2013,4,11, 04,09, 159.88, 159.88, 159.88, 159.88, 22.1160
2013,4,11, 04,10, 159.88, 162.99, 159.88, 162.99, 0.3457
2013,4,11, 04,15, 166.69, 166.69, 166.69, 166.69, 1.0000
2013,4,11, 04,16, 166.69, 166.69, 166.69, 166.69, 0.3148
2013,4,11, 04,17, 166.69, 166.69, 166.69, 166.69, 0.0997
2013,4,11, 04,20, 166.66, 166.69, 166.66, 166.69, 5.2333
2013,4,11, 04,21, 165.20, 165.20, 165.20, 165.20, 4.8000
2013,4,11, 04,22, 160.20, 160.20, 160.20, 160.20, 6.9434
2013,4,11, 04,23, 160.20, 160.20, 160.18, 160.18, 14.4570
2013,4,11, 04,24, 160.20, 160.20, 160.20, 160.20, 5.6872
2013,4,11, 04,25, 160.20, 160.20, 160.20, 160.20, 6.9142
2013,4,11, 04,26, 160.20, 160.20, 160.20, 160.20, 0.4991
2013,4,11, 04,27, 160.20, 160.20, 160.20, 160.20, 3.8151
2013,4,11, 04,28, 160.20, 160.20, 160.20, 160.20, 0.7188
2013,4,11, 04,29, 160.20, 160.20, 160.20, 160.20, 4.9559
2013,4,11, 04,30, 160.20, 165.19, 160.20, 165.19, 6.9834
2013,4,11, 04,31, 165.10, 165.10, 165.10, 165.10, 0.1274
2013,4,11, 04,32, 165.10, 165.10, 165.10, 165.10, 7.5557
2013,4,11, 04,33, 165.10, 165.10, 165.10, 165.10, 0.0630
2013,4,11, 04,35, 165.11, 165.11, 165.11, 165.11, 1.4464
2013,4,11, 04,37, 165.11, 165.11, 165.11, 165.11, 2.3360
2013,4,11, 04,38, 165.10, 165.10, 160.50, 160.50, 8.8940
2013,4,11, 04,42, 160.50, 160.50, 160.50, 160.50, 1.3251
2013,4,11, 04,43, 160.00, 160.50, 158.00, 158.00, 38.2884
2013,4,11, 04,44, 157.90, 157.90, 157.90, 157.90, 4.7111
2013,4,11, 04,47, 160.50, 160.50, 160.50, 160.50, 0.5063
2013,4,11, 04,49, 160.50, 160.50, 157.91, 157.91, 41.6553
2013,4,11, 04,50, 164.99, 164.99, 157.93, 157.93, 10.5685
2013,4,11, 04,51, 157.91, 157.91, 157.91, 157.91, 10.5400
2013,4,11, 04,52, 164.00, 164.00, 164.00, 164.00, 0.6800
2013,4,11, 04,53, 164.00, 164.00, 164.00, 164.00, 31.8087
2013,4,11, 04,54, 163.99, 164.00, 163.99, 164.00, 3.6416
2013,4,11, 04,55, 163.99, 163.99, 163.99, 163.99, 0.2378
2013,4,11, 04,57, 160.00, 160.00, 160.00, 160.00, 1.7632
2013,4,11, 04,59, 160.00, 160.00, 160.00, 160.00, 0.1266
2013,4,11, 05,02, 160.00, 160.00, 160.00, 160.00, 0.1023
2013,4,11, 05,03, 160.00, 160.00, 160.00, 160.00, 55.0714
2013,4,11, 05,04, 163.14, 163.14, 163.14, 163.14, 24.0000
2013,4,11, 05,05, 163.14, 163.15, 163.14, 163.15, 16.6361
2013,4,11, 05,06, 163.15, 163.15, 160.00, 163.14, 9.2832
2013,4,11, 05,07, 163.14, 163.14, 163.14, 163.14, 0.1267
2013,4,11, 05,08, 163.15, 163.15, 163.15, 163.15, 33.6289
2013,4,11, 05,09, 163.15, 163.15, 163.15, 163.15, 1.2196
2013,4,11, 05,10, 163.15, 163.15, 163.15, 163.15, 5.0745
2013,4,11, 05,12, 163.12, 163.13, 163.12, 163.13, 10.0061
2013,4,11, 05,13, 163.12, 163.12, 163.12, 163.12, 45.5878
2013,4,11, 05,15, 163.15, 163.15, 163.12, 163.12, 7.5211
2013,4,11, 05,16, 161.07, 163.15, 159.89, 161.22, 3.7886
2013,4,11, 05,17, 161.22, 161.22, 161.22, 161.22, 3.8610
2013,4,11, 05,18, 163.15, 163.15, 163.14, 163.14, 16.9002
2013,4,11, 05,19, 159.89, 163.15, 159.80, 163.14, 50.4999
2013,4,11, 05,20, 159.88, 159.88, 159.88, 159.88, 24.7097
2013,4,11, 05,21, 164.99, 164.99, 164.99, 164.99, 3.0184
2013,4,11, 05,23, 162.00, 162.00, 162.00, 162.00, 12.6141
2013,4,11, 05,24, 162.00, 162.00, 162.00, 162.00, 21.3168
2013,4,11, 05,25, 162.00, 164.00, 162.00, 164.00, 16.1389
2013,4,11, 05,27, 160.00, 160.00, 159.99, 159.99, 1.9999
2013,4,11, 05,29, 163.20, 163.20, 162.00, 162.00, 4.9405
2013,4,11, 05,30, 162.00, 163.20, 162.00, 163.20, 1.1277
2013,4,11, 05,31, 162.00, 162.00, 160.00, 160.00, 1.5385
2013,4,11, 05,32, 160.00, 160.00, 160.00, 160.00, 1.1193
2013,4,11, 05,33, 159.99, 159.99, 159.99, 159.99, 1.3586
2013,4,11, 05,34, 160.00, 160.00, 157.91, 160.00, 8.0932
2013,4,11, 05,35, 157.90, 157.90, 157.90, 157.90, 0.2446
2013,4,11, 05,36, 156.10, 156.10, 156.10, 156.10, 1.0000
2013,4,11, 05,37, 156.10, 156.10, 156.10, 156.10, 10.2735
2013,4,11, 05,38, 159.99, 159.99, 159.99, 159.99, 7.0000
2013,4,11, 05,40, 160.00, 160.00, 160.00, 160.00, 5.0000
